experiment_id;sample;sequence;sent_at_ms;rtt_ms;srtt_ms;status
jitter;29;29;8596.627;67.705;114.864;received
jitter;30;30;8901.460;147.657;118.963;received
jitter;31;31;9203.188;115.471;118.526;received
jitter;32;32;9519.969;69.749;112.429;received
jitter;33;33;9827.137;58.517;105.690;received
jitter;34;34;10135.922;106.562;105.799;received
jitter;35;35;10441.422;109.544;106.267;received
jitter;36;36;10754.744;109.103;106.622;received
jitter;37;37;11055.375;58.391;100.593;received
jitter;38;38;11367.770;127.481;103.954;received
jitter;39;39;11674.966;132.266;107.493;received
jitter;40;40;11983.454;66.569;102.377;received
jitter;41;41;12292.755;66.118;97.845;received
jitter;42;42;12600.284;91.950;97.108;received
jitter;43;43;12910.368;106.980;98.342;received
jitter;44;44;13231.034;125.593;101.748;received
jitter;45;45;13537.731;100.215;101.557;received
jitter;46;46;13855.089;78.605;98.688;received
jitter;47;47;14166.929;124.749;101.945;received
jitter;48;48;14475.554;118.350;103.996;received
jitter;49;49;14783.130;100.388;103.545;received
jitter;50;50;15092.217;118.969;105.473;received
loss_5;1;1;0.267;2.902;2.902;received
loss_5;2;2;320.609;0.355;2.584;received
loss_5;3;3;623.340;1.109;2.399;received
loss_5;4;4;929.137;1.130;2.241;received
loss_5;5;5;1241.490;0.454;2.017;received
loss_5;6;6;1552.945;0.300;1.803;received
loss_5;7;7;1864.247;0.269;1.611;received
loss_5;8;8;2171.481;0.344;1.453;received
loss_5;9;9;2483.968;0.383;1.319;received
loss_5;10;10;2799.275;0.492;1.216;received
loss_5;11;11;3108.046;;;timeout
loss_5;12;12;3417.837;0.362;1.109;received
loss_5;13;13;3725.856;0.431;1.024;received
loss_5;14;14;4037.044;0.334;0.938;received
loss_5;15;15;4348.157;0.360;0.866;received
loss_5;16;16;4659.451;0.503;0.820;received
loss_5;17;17;4970.582;0.517;0.782;received
loss_5;18;18;5279.780;0.683;0.770;received
loss_5;19;19;5589.220;0.566;0.744;received
loss_5;20;20;5898.995;0.276;0.686;received
loss_5;21;21;6209.445;0.472;0.659;received
loss_5;22;22;6520.235;0.431;0.631;received
loss_5;23;23;6830.005;0.414;0.604;received
loss_5;24;24;7136.823;0.330;0.569;received
loss_5;25;25;7444.390;0.428;0.552;received
loss_5;26;26;7751.560;0.521;0.548;received
loss_5;27;27;8058.561;0.301;0.517;received
loss_5;28;28;8369.030;0.436;0.507;received
loss_5;29;29;8675.372;0.363;0.489;received
loss_5;30;30;8984.646;0.323;0.468;received
loss_5;31;31;9294.246;0.438;0.464;received
loss_5;32;32;9606.292;0.437;0.461;received
loss_5;33;33;9916.677;;;timeout
loss_5;34;34;10224.127;0.324;0.444;received
loss_5;35;35;10534.885;0.270;0.422;received
loss_5;36;36;10846.371;0.365;0.415;received
loss_5;37;37;11159.536;0.253;0.395;received
loss_5;38;38;11467.105;0.327;0.386;received
loss_5;39;39;11779.621;0.261;0.371;received
loss_5;40;40;12092.186;;;timeout
loss_5;41;41;12400.298;0.207;0.350;received
loss_5;42;42;12710.161;0.254;0.338;received
loss_5;43;43;13012.020;0.240;0.326;received
loss_5;44;44;13322.322;0.240;0.315;received
loss_5;45;45;13633.083;0.256;0.308;received
loss_5;46;46;13944.915;0.266;0.303;received
loss_5;47;47;14252.215;0.317;0.304;received
loss_5;48;48;14562.575;0.250;0.298;received
loss_5;49;49;14873.598;3.246;0.666;received
loss_5;50;50;15181.329;0.258;0.615;received
combined;1;1;0.156;103.281;103.281;received
combined;2;2;305.841;107.529;103.812;received
combined;3;3;617.757;107.192;104.235;received
combined;4;4;926.758;108.284;104.741;received
combined;5;5;1237.416;107.889;105.134;received
combined;6;6;1547.679;108.802;105.593;received
combined;7;7;1861.125;110.513;106.208;received
combined;8;8;2174.286;107.874;106.416;received
combined;9;9;2484.930;107.893;106.601;received
combined;10;10;2794.574;109.608;106.977;received
combined;11;11;3107.186;;;timeout
combined;12;12;3417.176;108.852;107.211;received
combined;13;13;3725.602;109.213;107.461;received
combined;14;14;4034.859;107.400;107.454;received
combined;15;15;4346.721;107.211;107.423;received
combined;16;16;4655.721;108.493;107.557;received
combined;17;17;4967.568;108.622;107.690;received
combined;18;18;5279.206;108.338;107.771;received
combined;19;19;5591.276;108.877;107.909;received
combined;20;20;5901.829;109.593;108.120;received
combined;21;21;6213.242;108.107;108.118;received
combined;22;22;6520.673;108.734;108.195;received
combined;23;23;6829.317;107.876;108.155;received
combined;24;24;7138.152;107.594;108.085;received
combined;25;25;7445.837;108.125;108.090;received
combined;26;26;7755.436;108.066;108.087;received
combined;27;27;8066.839;108.967;108.197;received
combined;28;28;8377.657;108.276;108.207;received
combined;29;29;8687.469;109.549;108.375;received
combined;30;30;8997.523;108.240;108.358;received
combined;31;31;9308.506;109.402;108.488;received
combined;32;32;9618.507;108.355;108.472;received
combined;33;33;9928.641;;;timeout
combined;34;34;10237.777;108.321;108.453;received
combined;35;35;10549.591;109.098;108.534;received
combined;36;36;10860.304;107.010;108.343;received
combined;37;37;11170.285;108.650;108.381;received
combined;38;38;11479.257;109.936;108.576;received
combined;39;39;11790.400;109.999;108.754;received
combined;40;40;12102.536;;;timeout
combined;41;41;12413.248;107.977;108.657;received
combined;42;42;12723.497;107.203;108.475;received
combined;43;43;13032.151;108.937;108.533;received
combined;44;44;13342.674;110.051;108.722;received
combined;45;45;13656.237;108.066;108.640;received
combined;46;46;13965.332;109.237;108.715;received
combined;47;47;14274.919;108.627;108.704;received
combined;48;48;14584.541;108.800;108.716;received
combined;49;49;14895.064;109.302;108.789;received
combined;50;50;15207.412;107.919;108.680;received
